Samples	1l	2l	0l	1l_sys	2l_sys	0l_sys	1l_lrj	1l_jer	2l_jer
### ttH_mc16c									
									
### ttbar_mc16c									
mc16_13TeV.410249.Sherpa_221_NNPDF30NNLO_ttbar_AllHadronic_MEPS_NLO.deriv.DAOD_TOPQ1.e5450_s3126_r9781_p3404	Y	Y	Y	N	N	N	N	N	N
mc16_13TeV.410250.Sherpa_221_NNPDF30NNLO_ttbar_SingleLeptonP_MEPS_NLO.deriv.DAOD_TOPQ1.e5450_s3126_r9781_p3404	Y	Y	Y	N	N	N	N	N	N
mc16_13TeV.410251.Sherpa_221_NNPDF30NNLO_ttbar_SingleLeptonM_MEPS_NLO.deriv.DAOD_TOPQ1.e5450_s3126_r9781_p3404	Y	Y	Y	N	N	N	N	N	N
mc16_13TeV.410252.Sherpa_221_NNPDF30NNLO_ttbar_dilepton_MEPS_NLO.deriv.DAOD_TOPQ1.e5450_s3126_r9781_p3404	Y	Y	Y	N	N	N	N	N	N
									
### single-top_mc16c									
									
### ttV_mc16c									
mc16_13TeV.410276.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttee_mll_1_5.deriv.DAOD_TOPQ1.e6087_s3126_r9781_p3404	N	N	N	Y	Y	Y	Y	Y	Y
mc16_13TeV.410277.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttmumu_mll_1_5.deriv.DAOD_TOPQ1.e6087_s3126_r9781_p3404	Y	Y	Y	Y	Y	Y	Y	Y	Y
mc16_13TeV.410278.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_tttautau_mll_1_5.deriv.DAOD_TOPQ1.e6087_s3126_r9781_p3404	Y	Y	Y	Y	Y	Y	Y	Y	Y
mc16_13TeV.410142.Sherpa_NNPDF30NNLO_ttll_mll5.deriv.DAOD_TOPQ1.e4686_s3126_r9781_p3404	Y	Y	N	N	N	N	N	N	N
mc16_13TeV.410143.Sherpa_NNPDF30NNLO_ttZnnqq.deriv.DAOD_TOPQ1.e4686_s3126_r9781_p3404	Y	Y	N	N	N	Y	N	N	N
mc16_13TeV.410144.Sherpa_NNPDF30NNLO_ttW.deriv.DAOD_TOPQ1.e4686_s3126_r9781_p3404	Y	Y	N	N	N	Y	N	N	N
									
### ttWW3t4t_mc16c									
mc16_13TeV.304014.MadGraphPythia8EvtGen_A14NNPDF23_3top_SM.deriv.DAOD_TOPQ1.e4324_s3126_r9781_p3390	N	N	N	Y	Y	Y	Y	Y	Y
mc16_13TeV.410080.MadGraphPythia8EvtGen_A14NNPDF23_4topSM.deriv.DAOD_TOPQ1.e4111_s3126_r9781_p3390	N	N	N	Y	Y	Y	Y	Y	Y
mc16_13TeV.410081.MadGraphPythia8EvtGen_A14NNPDF23_ttbarWW.deriv.DAOD_TOPQ1.e4111_s3126_r9781_p3390	N	N	N	Y	Y	Y	Y	Y	Y
									
### Wjets_mc16c									
									
### Zjets_mc16c									
mc16_13TeV.364204.Sherpa_221_NN30NNLO_Zee_Mll10_40_MAXHTPTV0_70_BVeto.deriv.DAOD_TOPQ1.e5421_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.364205.Sherpa_221_NN30NNLO_Zee_Mll10_40_MAXHTPTV0_70_BFilter.deriv.DAOD_TOPQ1.e5421_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
